N,f_mics,df_mics,f_mbar,df_mbar
10000,-0.4383701441,0.324205427,-0.9170896903,0.5926815404
12500,-0.6682117474,0.2996019221,-0.9531294454,0.5181526489
15000,-0.987491517,0.2872843978,-0.8174235805,0.4978997517
17500,-0.7918944466,0.2761211276,-0.141840039,0.4612088737
20000,-0.8480461686,0.2655087519,-0.7329116876,0.4475107333
22500,-0.7902050372,0.253445338,-0.5177254591,0.4104171874
25000,-0.6949410514,0.2455607559,-0.4558025479,0.3840833655
27500,-0.8036409994,0.2396470073,-0.6422841846,0.3662954301
30000,-0.9241835164,0.2367139513,-1.0136679115,0.370638979
32500,-1.0102868005,0.2277830502,-1.198036542,0.3466778909
35000,-0.8071168772,0.2212164809,-0.6409257039,0.3548221103
37500,-0.7936394602,0.2125227561,-1.1021498774,0.3510415335
40000,-0.7077135781,0.2083312633,-0.3821613116,0.3323026786
42500,-0.7728467112,0.2025582688,-0.6837662494,0.3190040431
45000,-0.7296936582,0.1979701029,-0.5182090749,0.3057024255
47500,-0.7162222409,0.1943160086,-0.4696687034,0.3016660543
50000,-0.6929355745,0.1898558631,-0.6649404432,0.286366829
52500,-0.7989343593,0.1874092362,-0.8455442619,0.2870319669
55000,-0.7964014598,0.1850698562,-0.7208632828,0.2865239388
57500,-0.674979616,0.1818004455,-0.8009845128,0.2787713686
60000,-0.7476515432,0.1787188983,-0.8660245476,0.2774755266
62500,-0.8200192355,0.1759619462,-0.6848723423,0.2726359551
65000,-0.8166082046,0.1734991661,-0.6979737064,0.2699358323
67500,-0.7562128709,0.1707563933,-0.4278528929,0.2695804228
70000,-0.7535700161,0.1686864396,-0.8132177381,0.2714100292
72500,-0.7479938318,0.1660700915,-0.8857903828,0.260268912
75000,-0.7277871293,0.1643514074,-0.2344300046,0.2509473207
77500,-0.777646599,0.1635364221,-0.6422803289,0.2512323054
80000,-0.7387490292,0.1616174079,-0.5191488877,0.2445551364
82500,-0.7196522489,0.1591800243,-0.7755497161,0.2464910368
85000,-0.7016465376,0.1569118589,-0.6166648588,0.2405026981
87500,-0.7063977406,0.1547822456,-0.2186784366,0.2341255988
90000,-0.7085036835,0.1540207995,-0.5674096216,0.2332667874
92500,-0.6405827946,0.1522526545,-0.5939953224,0.2295537426
95000,-0.6490036238,0.150752471,-0.7174015858,0.2246846945
97500,-0.6167613595,0.1490235781,-0.4960479708,0.2195638423
100000,-0.6296413631,0.146582747,-0.5706545952,0.2157023587
102500,-0.5725433779,0.1456682789,-0.5647048177,0.2156205913
105000,-0.5687360946,0.1449362786,-0.4102069026,0.2146286733
107500,-0.6188488113,0.1442801667,-0.6356632315,0.2109125526
110000,-0.6237603002,0.1431260843,-0.3405545822,0.2074418516
112500,-0.6492391111,0.1420178898,-0.3674716731,0.2061499776
115000,-0.6860902273,0.1410516617,-0.669417706,0.2083278147
117500,-0.6878069716,0.1397236342,-0.5703756128,0.2094016457
120000,-0.6849492628,0.1389968731,-0.4958363605,0.2022989303
122500,-0.6433374788,0.1383708224,-0.4830222723,0.1984990093
125000,-0.6509315543,0.1369742007,-0.6204221914,0.1959885783
127500,-0.6550905014,0.1358494519,-0.45559966,0.1933960872
130000,-0.6638062018,0.1347540738,-0.5355660969,0.1897832111
132500,-0.6578589553,0.1336062435,-0.5938588547,0.1874721442
135000,-0.6595839771,0.1322719763,-0.6217008546,0.1868316067
137500,-0.6529131253,0.1310770953,-0.5175161057,0.184279906
140000,-0.6191433768,0.1304878845,-0.574098307,0.1870772887
142500,-0.6010706956,0.1293545259,-0.4845369116,0.1863873971
145000,-0.6215900863,0.1284198914,-0.4714541156,0.1840076538
147500,-0.6132733425,0.1276029594,-0.5114729038,0.1823372107
150000,-0.6005189136,0.126860944,-0.582458576,0.1822816207
152500,-0.627653538,0.1255581104,-0.6197573506,0.1805024948
155000,-0.6998158986,0.1252506569,-0.5408252102,0.1791974957
157500,-0.7107368088,0.1246033012,-0.514933754,0.1797507501
160000,-0.7083229514,0.1238477454,-0.5756824863,0.178170777
162500,-0.6962795939,0.1229458522,-0.519256147,0.1757873285
165000,-0.7370499333,0.1226633806,-0.5902119925,0.1745370493
167500,-0.7446417241,0.1223258858,-0.6573732546,0.1719227394
170000,-0.7479850473,0.1218017316,-0.6674075315,0.1693718303
172500,-0.7696246621,0.1212311108,-0.8908364336,0.168289048
175000,-0.7967158432,0.1210560559,-0.8572189177,0.1675623418
177500,-0.777518886,0.1202537473,-0.7179625244,0.1660118758
180000,-0.7538432416,0.1195348956,-0.841767137,0.1655736845
182500,-0.7716285655,0.1189902001,-0.7034225957,0.1636591914
185000,-0.7527433494,0.1179931911,-0.6621480167,0.1654839482
187500,-0.7745020049,0.1172327153,-0.5626519612,0.1607075073
190000,-0.7729647683,0.116600931,-0.7346595005,0.1574952319
192500,-0.7841337916,0.1159502255,-0.7241336597,0.1567597045
195000,-0.7791369155,0.1154156817,-0.5437898701,0.1547183697
197500,-0.775381338,0.1146129024,-0.7206079727,0.1531400127
200000,-0.7539388407,0.1141601155,-0.6473741291,0.157198907
202500,-0.7793505091,0.1136440894,-0.7417984841,0.1559379561
205000,-0.7778094646,0.1130679589,-0.934709825,0.1562128253
207500,-0.7556771712,0.1125492476,-0.7830750046,0.1541804717
210000,-0.7447401206,0.1121831107,-0.8807725685,0.153146595
212500,-0.7595560747,0.1115365356,-0.6630541449,0.1515229247
215000,-0.7403667405,0.1109675925,-0.8392280824,0.150246328
217500,-0.7119523064,0.1106265897,-0.6819124005,0.1507904304
220000,-0.6948454595,0.1099945571,-0.7369999586,0.1498259604
222500,-0.7112686662,0.1093821309,-0.7280586158,0.1496184401
225000,-0.715275315,0.1087387682,-0.5871323144,0.1464871387
227500,-0.7060146117,0.1084495575,-0.6251564285,0.1471988639
230000,-0.7351044408,0.1081487556,-0.770040964,0.1465995347
232500,-0.7550543449,0.1077906374,-0.8318332539,0.1458942741
235000,-0.7486894767,0.1070690543,-0.6647036305,0.1439573502
237500,-0.7335505275,0.106838889,-0.6860495077,0.1435444474
240000,-0.7430599431,0.1066241625,-0.7079165451,0.1407653021
242500,-0.7417934612,0.106167768,-0.6845186878,0.1392378357
245000,-0.7466047674,0.1057165831,-0.7813442076,0.1383717532
247500,-0.746764418,0.1055278409,-0.580063701,0.1381673807
250000,-0.7283044523,0.1049637636,-0.5969245331,0.1371637482
